item_id,order_id,product_id,quantity,unit_price,discount_percent
ITEM00859,ORD00427,PROD0176,4,221.58,3.9
ITEM00971,ORD00485,PROD0490,4,35.82,7.6
ITEM00088,ORD00043,PROD0455,4,251.23,10.5
ITEM00074,ORD00036,PROD0412,3,388.85,16.7
ITEM00015,ORD00007,PROD0096,2,173.99,0.0
ITEM00815,ORD00404,PROD0223,3,496.74,0.0
ITEM00675,ORD00338,PROD0364,3,370.16,0.0
ITEM00633,ORD00316,PROD0503,3,102.85,0.0
ITEM00284,ORD00143,PROD0066,5,423.02,0.0
ITEM00677,ORD00338,PROD0325,4,220.1,0.0
ITEM00053,ORD00026,PROD0135,4,408.28,0.0
ITEM00484,ORD00242,PROD0271,4,69.14,13.0
ITEM01241,ORD00616,PROD0060,4,135.38,0.0
ITEM01123,ORD00559,PROD0500,4,341.94,11.4
ITEM00440,ORD00221,PROD0139,1,181.07,17.9
ITEM01228,ORD00610,PROD0439,2,92.43,0.0
ITEM00032,ORD00015,PROD0339,1,43.44,0.0
ITEM01206,ORD00597,PROD0309,-3,542.23,0.0
ITEM00632,ORD00316,PROD0497,5,406.56,0.0
ITEM00495,ORD00248,PROD0049,2,313.92,0.0
ITEM00349,ORD00175,PROD0199,2,40.57,17.7
ITEM01054,ORD00524,PROD0109,5,340.56,13.4
ITEM00378,ORD00188,PROD0188,-1,540.21,11.4
ITEM00925,ORD00460,PROD0077,4,228.76,0.0
ITEM01196,ORD00593,PROD0194,2,21.3,0.0
ITEM01207,ORD00597,PROD0469,2,36.8,0.0
ITEM01270,ORD00630,PROD0093,5,248.52,3.7
ITEM00230,ORD00114,PROD0205,3,60.8,0.0
ITEM00638,ORD00318,PROD0392,1,516.09,17.0
ITEM00759,ORD00380,PROD0363,2,32.44,5.9
ITEM00312,ORD00158,PROD0264,5,401.75,0.0
ITEM00721,ORD00360,PROD0219,3,213.99,4.3
ITEM00535,ORD00267,PROD0324,2,301.1,1.4
ITEM00472,ORD00235,PROD0009,3,117.28,13.7
ITEM01087,ORD00540,PROD0290,2,103.15,18.1
ITEM00592,ORD00295,PROD0451,2,325.07,0.0
ITEM01137,ORD00565,PROD0332,3,129.99,0.1
ITEM00927,ORD00460,PROD0503,4,108.61,19.5
ITEM01044,ORD00520,PROD0037,4,388.82,0.0
ITEM00578,ORD00289,PROD0501,3,528.58,18.2
ITEM00164,ORD00084,PROD0436,-3,224.83,0.0
ITEM00151,ORD00077,PROD0161,1,539.27,8.6
ITEM00740,ORD00369,PROD0259,5,195.19,0.0
ITEM00084,ORD00041,PROD0141,4,8.61,0.0
ITEM01043,ORD00520,PROD0333,5,174.35,0.0
ITEM00006,ORD00003,PROD0485,3,445.77,5.0
ITEM01072,ORD00534,PROD0013,1,593.1,0.0
ITEM00394,ORD00196,PROD0405,5,268.79,1.2
ITEM00493,ORD00247,PROD0431,3,119.87,0.0
ITEM00546,ORD00274,PROD0293,3,164.12,0.0
ITEM00140,ORD00071,PROD0140,1,538.96,15.7
ITEM01180,ORD00584,PROD0508,4,499.8,0.0
ITEM00087,ORD00043,PROD0175,1,582.19,0.0
ITEM00003,ORD00002,PROD0301,5,372.65,0.0
ITEM00303,ORD00152,PROD0009,4,128.3,0.0
ITEM01115,ORD00555,PROD0295,4,78.9,0.0
ITEM00995,ORD00497,PROD0212,5,570.25,7.7
ITEM01219,ORD00606,PROD0364,2,364.74,17.3
ITEM00794,ORD00394,PROD0382,5,47.26,0.0
ITEM00332,ORD00167,PROD0016,4,597.42,0.0
ITEM00237,ORD00118,PROD0184,-1,474.7,0.0
ITEM00617,ORD00307,PROD0225,1,154.93,0.0
ITEM00255,ORD00126,PROD0498,5,132.7,4.7
ITEM00428,ORD00214,PROD0217,1,311.04,19.0
ITEM00360,ORD00180,PROD0440,3,59.31,0.0
ITEM00566,ORD00283,PROD0431,1,117.6,0.0
ITEM00680,ORD00340,PROD0197,1,572.24,13.6
ITEM00048,ORD00023,PROD0314,2,125.66,0.0
ITEM00264,ORD00130,PROD0151,1,313.95,0.0
ITEM00663,ORD00332,PROD0076,4,346.74,0.0
ITEM00746,ORD00372,PROD0091,3,92.08,4.9
ITEM00247,ORD00122,PROD0474,1,602.99,5.3
ITEM00690,ORD00346,PROD0219,1,235.88,0.0
ITEM00311,ORD00158,PROD0487,2,342.47,2.3
ITEM01281,ORD00634,PROD0144,3,271.11,8.6
ITEM00207,ORD00104,PROD0356,2,274.19,0.0
ITEM00358,ORD00179,PROD0088,5,544.67,0.0
ITEM00953,ORD00474,PROD0071,2,632.77,0.0
ITEM00955,ORD00475,PROD0417,1,231.43,0.0
ITEM00396,ORD00197,PROD0148,2,204.49,6.9
ITEM00543,ORD00271,PROD0176,1,230.33,7.2
ITEM01084,ORD00539,PROD0484,2,36.26,0.0
ITEM00293,ORD00147,PROD0140,2,458.95,0.0
ITEM00150,ORD00076,PROD0020,3,186.82,8.6
ITEM00029,ORD00014,PROD0327,5,669.59,0.0
ITEM01048,ORD00522,PROD0346,4,28.5,0.0
ITEM00095,ORD00047,PROD0373,1,200.54,0.0
ITEM00505,ORD00252,PROD0143,3,314.84,0.0
ITEM00594,ORD00296,PROD0250,5,36.23,0.0
ITEM01294,ORD00640,PROD0489,4,157.75,0.0
ITEM00725,ORD00362,PROD0090,4,53.06,0.0
ITEM00016,ORD00008,PROD0287,3,392.28,1.1
ITEM00287,ORD00144,PROD0229,-2,560.45,0.7
ITEM00909,ORD00451,PROD0215,4,462.06,0.0
ITEM00105,ORD00052,PROD0519,-3,313.14,3.4
ITEM00941,ORD00468,PROD0331,2,294.21,0.0
ITEM00347,ORD00174,PROD0256,3,151.72,9.4
ITEM00381,ORD00190,PROD0457,2,367.78,0.0
ITEM00059,ORD00028,PROD0389,3,219.04,0.0
ITEM00019,ORD00009,PROD0309,3,602.5,1.9
ITEM00833,ORD00413,PROD0324,2,332.29,11.6
ITEM00942,ORD00468,PROD0324,1,280.39,18.6
ITEM00655,ORD00327,PROD0396,4,158.03,8.3
ITEM01208,ORD00598,PROD0432,4,541.08,0.0
ITEM00414,ORD00206,PROD0433,2,147.04,0.0
ITEM01187,ORD00588,PROD0474,1,613.62,0.0
ITEM01089,ORD00542,PROD0208,1,41.35,0.0
ITEM00584,ORD00292,PROD0487,4,359.32,0.0
ITEM00034,ORD00016,PROD0414,1,381.33,0.0
ITEM00869,ORD00431,PROD0427,1,30.11,0.0
ITEM00344,ORD00172,PROD0492,3,267.02,0.0
ITEM00127,ORD00064,PROD0247,1,580.11,0.1
ITEM00364,ORD00182,PROD0452,3,314.44,8.0
ITEM00923,ORD00459,PROD0418,3,371.88,0.0
ITEM00370,ORD00184,PROD0076,2,403.14,0.0
ITEM00691,ORD00347,PROD0067,1,279.51,18.4
ITEM00073,ORD00036,PROD0201,3,80.25,0.0
ITEM00145,ORD00075,PROD0304,1,314.26,0.0
ITEM00553,ORD00276,PROD0251,1,237.35,0.0
ITEM00025,ORD00011,PROD0418,4,353.03,0.0
ITEM00101,ORD00049,PROD0328,2,247.9,0.0
ITEM00018,ORD00008,PROD0267,1,297.01,0.0
ITEM00563,ORD00281,PROD0247,3,514.54,0.0
ITEM00277,ORD00139,PROD0075,5,100.64,0.0
ITEM01100,ORD00549,PROD0490,4,33.05,0.0
ITEM00398,ORD00199,PROD0511,2,214.55,11.0
ITEM00996,ORD00497,PROD0252,2,255.72,0.0
ITEM00184,ORD00094,PROD0249,4,486.21,18.8
ITEM01240,ORD00616,PROD0403,3,590.52,8.8
ITEM01026,ORD00509,PROD0134,1,371.55,0.0
ITEM00221,ORD00111,PROD0183,2,322.61,0.0
ITEM00579,ORD00289,PROD0298,3,222.64,16.1
ITEM00526,ORD00263,PROD0159,2,319.86,5.0
ITEM01238,ORD00615,PROD0427,5,31.71,18.9
ITEM01308,ORD00646,PROD0426,5,582.88,12.3
ITEM00658,ORD00329,PROD0031,3,65.83,7.9
ITEM00282,ORD00141,PROD0474,1,655.83,11.9
ITEM00023,ORD00011,PROD0298,3,237.7,8.3
ITEM01152,ORD00572,PROD0507,5,586.1,0.0
ITEM01200,ORD00594,PROD0477,2,402.5,0.0
ITEM00024,ORD00011,PROD0152,4,21.26,0.0
ITEM00916,ORD00455,PROD0139,4,161.92,8.3
ITEM00143,ORD00074,PROD0449,4,235.01,0.0
ITEM01199,ORD00594,PROD0195,1,73.12,0.0
ITEM00581,ORD00290,PROD0092,5,609.13,0.0
ITEM00457,ORD00229,PROD0011,-3,490.47,0.0
ITEM00998,ORD00498,PROD0131,5,416.96,11.9
ITEM00936,ORD00465,PROD0295,3,81.53,0.0
ITEM00963,ORD00480,PROD0486,1,625.75,8.6
ITEM00436,ORD00218,PROD0341,1,82.11,16.4
ITEM00168,ORD00085,PROD0032,1,290.71,0.0
ITEM01074,ORD00534,PROD0077,4,226.45,7.5
ITEM00514,ORD00257,PROD0324,3,279.2,0.0
ITEM00353,ORD00176,PROD0228,2,670.34,0.0
ITEM00017,ORD00008,PROD0221,2,427.25,17.2
ITEM01254,ORD00622,PROD0347,3,146.33,0.0
ITEM00137,ORD00068,PROD0308,3,224.7,0.0
ITEM01110,ORD00553,PROD0479,-2,469.29,0.0
ITEM00170,ORD00086,PROD0378,3,620.2,0.0
ITEM00545,ORD00273,PROD0422,5,123.83,0.0
ITEM01132,ORD00562,PROD0487,4,311.43,11.7
ITEM01133,ORD00563,PROD0070,4,565.63,3.6
ITEM00014,ORD00006,PROD0049,2,273.79,0.0
ITEM01002,ORD00499,PROD0079,3,14.01,4.2
ITEM00070,ORD00034,PROD0019,3,188.72,9.9
ITEM00842,ORD00418,PROD0047,5,418.01,0.0
ITEM00811,ORD00403,PROD0278,5,521.74,0.0
ITEM01305,ORD00645,PROD0217,1,347.92,0.0
ITEM00978,ORD00488,PROD0126,5,322.32,17.3
ITEM00265,ORD00131,PROD0238,3,577.01,0.0
ITEM01049,ORD00522,PROD0430,4,588.61,6.1
ITEM01266,ORD00628,PROD0198,4,136.86,0.0
ITEM00649,ORD00323,PROD0472,4,56.61,0.0
ITEM01314,ORD00649,PROD0334,3,60.41,18.8
ITEM01277,ORD00633,PROD0083,3,91.4,0.0
ITEM00947,ORD00472,PROD0122,4,405.23,18.0
ITEM00030,ORD00014,PROD0279,5,668.2,0.0
ITEM00222,ORD00111,PROD0346,3,34.35,0.0
ITEM00179,ORD00092,PROD0023,1,474.66,0.0
ITEM00007,ORD00003,PROD0157,4,298.15,0.0
ITEM00111,ORD00055,PROD0038,4,10.72,17.8
ITEM00479,ORD00238,PROD0421,1,51.48,0.0
ITEM00848,ORD00422,PROD0507,1,577.83,19.5
ITEM00775,ORD00387,PROD0369,1,339.97,0.0
ITEM00741,ORD00370,PROD0137,3,373.83,0.0
ITEM00527,ORD00263,PROD0137,3,388.0,10.4
ITEM01165,ORD00578,PROD0489,4,145.08,19.6
ITEM00678,ORD00339,PROD0140,4,463.77,5.7
ITEM00323,ORD00162,PROD0317,3,417.87,0.0
ITEM01160,ORD00576,PROD0314,1,132.18,0.0
ITEM00728,ORD00363,PROD0325,1,217.73,8.1
ITEM01067,ORD00531,PROD0078,1,46.54,0.0
ITEM01310,ORD00647,PROD0500,5,373.46,0.0
ITEM01111,ORD00553,PROD0235,1,316.21,0.0
ITEM01235,ORD00614,PROD0156,2,338.6,0.0
ITEM00595,ORD00296,PROD0016,3,600.42,0.0
ITEM00992,ORD00495,PROD0432,2,564.19,0.0
ITEM00631,ORD00315,PROD0517,2,61.52,0.0
ITEM00408,ORD00203,PROD0502,2,205.72,17.1
ITEM00241,ORD00120,PROD0155,3,277.82,0.0
ITEM00685,ORD00344,PROD0213,4,488.51,2.6
ITEM01242,ORD00617,PROD0147,5,474.56,0.0
ITEM00957,ORD00475,PROD0366,2,285.75,0.0
ITEM00304,ORD00153,PROD0142,1,478.68,7.2
ITEM00885,ORD00438,PROD0174,2,49.6,0.0
ITEM00136,ORD00068,PROD0314,1,129.65,0.0
ITEM00301,ORD00151,PROD0449,3,252.33,0.0
ITEM00090,ORD00045,PROD0145,2,464.95,0.0
ITEM00883,ORD00437,PROD0161,5,468.5,12.6
ITEM00805,ORD00399,PROD0339,1,40.23,19.7
ITEM00419,ORD00209,PROD0419,3,276.26,0.0
ITEM00513,ORD00256,PROD0284,-2,101.27,0.0
ITEM00335,ORD00168,PROD0211,5,430.99,15.4
ITEM00489,ORD00244,PROD0238,3,619.72,0.0
ITEM01014,ORD00504,PROD0359,3,477.21,0.0
ITEM00060,ORD00029,PROD0333,5,180.55,0.0
ITEM00537,ORD00268,PROD0378,4,585.55,0.0
ITEM00001,ORD00001,PROD0419,2,315.39,11.3
ITEM01125,ORD00560,PROD0454,4,490.67,0.4
ITEM00586,ORD00293,PROD0257,1,596.01,0.0
ITEM00716,ORD00359,PROD0053,2,247.24,0.0
ITEM00816,ORD00405,PROD0209,2,12.48,0.0
ITEM00865,ORD00429,PROD0505,4,437.01,0.0
ITEM01040,ORD00518,PROD0200,1,464.79,17.0
ITEM00319,ORD00161,PROD0353,3,351.91,0.0
ITEM01143,ORD00568,PROD0101,1,353.24,0.0
ITEM01223,ORD00607,PROD0429,2,252.77,10.7
ITEM01194,ORD00592,PROD0025,2,465.41,13.4
ITEM01251,ORD00621,PROD0476,4,360.4,0.0
ITEM00912,ORD00453,PROD0376,2,217.84,0.0
ITEM01211,ORD00599,PROD0482,2,252.94,0.0
ITEM00700,ORD00351,PROD0485,1,532.82,0.0
ITEM00822,ORD00407,PROD0472,4,56.9,0.0
ITEM00866,ORD00430,PROD0504,1,229.31,0.0
ITEM00203,ORD00103,PROD0106,3,48.5,11.5
ITEM00234,ORD00116,PROD0367,2,120.87,0.0
ITEM00086,ORD00042,PROD0165,4,689.83,6.3
ITEM00780,ORD00389,PROD0506,5,175.96,0.0
ITEM01151,ORD00572,PROD0293,5,147.98,2.6
ITEM01097,ORD00547,PROD0348,3,570.13,0.0
ITEM01032,ORD00513,PROD0095,3,175.51,8.8
ITEM00536,ORD00267,PROD0129,3,222.92,12.3
ITEM00413,ORD00206,PROD0328,4,252.69,12.6
ITEM01178,ORD00584,PROD0126,2,304.69,13.8
ITEM00806,ORD00400,PROD0511,1,195.68,8.2
ITEM01080,ORD00536,PROD0353,2,307.25,0.0
