product_id,product_name,category,subcategory,cost_price
PROD0001,Towels 207,Home,Towels,148.46
PROD0002,Sweater 227,Clothing,Sweater,101.5
PROD0003,Cushion 735,Home,Cushion,224.4
PROD0004,Dress 223,Clothing,Dress,98.04
PROD0005,Smartphone 413,Electronics,Smartphone,143.52
PROD0006,Blender 238,Home,Blender,177.08
PROD0007,Dress 290,Clothing,Dress,433.96
PROD0008,Jacket 982,Clothing,Jacket,398.73
PROD0009,Sci-Fi Book 829,Books,Sci-Fi Book,92.22
PROD0010,Headphones 453,Electronics,Headphones,83.8
PROD0011,Sneakers 282,Clothing,Sneakers,388.32
PROD0012,Coffee Maker 906,Home,Coffee Maker,264.79
PROD0013,Vase 560,Home,Vase,438.3
PROD0014,Smartwatch 758,Electronics,Smartwatch,149.23
PROD0015,Rug 488,Home,Rug,439.7
PROD0016,Sci-Fi Book 801,Books,Sci-Fi Book,429.64
PROD0017,Towels 478,Home,Towels,140.76
PROD0018,Coffee Maker 573,Home,Coffee Maker,208.83
PROD0019,T-Shirt 370,Clothing,T-Shirt,151.99
PROD0020,Jeans 907,Clothing,Jeans,158.8
PROD0021,Dress 908,Clothing,Dress,94.95
PROD0022,History Book 784,Books,History Book,393.39
PROD0023,Comic Book 703,Books,Comic Book,359.24
PROD0024,Comic Book 258,Books,Comic Book,113.76
PROD0025,Lamp 581,Home,Lamp,354.41
PROD0026,Rug 807,Home,Rug,191.54
PROD0027,Headphones 552,Electronics,Headphones,201.9
PROD0028,Sneakers 943,Clothing,Sneakers,323.03
PROD0029,Smartphone 413,Electronics,Smartphone,35.91
PROD0030,Cushion 302,Home,Cushion,43.32
PROD0031,Vase 612,Home,Vase,56.56
PROD0032,Dress 498,Clothing,Dress,212.88
PROD0033,Cushion 418,Home,Cushion,406.0
PROD0034,Socks 586,Clothing,Socks,113.91
PROD0035,Sci-Fi Book 941,Books,Sci-Fi Book,386.59
PROD0036,Camera 851,Electronics,Camera,192.46
PROD0037,Rug 792,Home,Rug,297.43
PROD0038,Biography 688,Books,Biography,7.93
PROD0039,Jacket 342,Clothing,Jacket,157.06
PROD0040,Camera 671,Electronics,Camera,99.62
PROD0041,Rug 913,Home,Rug,496.36
PROD0042,Smartphone 808,Electronics,Smartphone,71.5
PROD0043,Smartwatch 387,Electronics,Smartwatch,438.28
PROD0044,Headphones 951,Electronics,Headphones,180.16
PROD0045,Cushion 988,Home,Cushion,252.44
PROD0046,Coffee Maker 496,Home,Coffee Maker,265.49
PROD0047,Tablet 406,Electronics,Tablet,352.89
PROD0048,Jeans 653,Clothing,Jeans,141.28
PROD0049,Tablet 790,Electronics,Tablet,236.8
PROD0050,Headphones 352,Electronics,Headphones,68.61
PROD0051,Laptop 869,Electronics,Laptop,145.16
PROD0052,Sweater 108,Clothing,Sweater,170.65
PROD0053,Laptop 862,Electronics,Laptop,195.44
PROD0054,Tablet 321,Electronics,Tablet,109.47
PROD0055,Sweater 467,Clothing,Sweater,146.6
PROD0056,Sweater 162,Clothing,Sweater,124.54
PROD0057,Coffee Maker 563,Home,Coffee Maker,403.01
PROD0058,History Book 963,Books,History Book,363.69
PROD0059,Sweater 442,Clothing,Sweater,326.8
PROD0060,Coffee Maker 117,Home,Coffee Maker,106.61
PROD0061,Sci-Fi Book 610,Books,Sci-Fi Book,308.12
PROD0062,Headphones 276,Electronics,Headphones,424.76
PROD0063,Biography 817,Books,Biography,372.95
PROD0064,Blender 964,Home,Blender,97.61
PROD0065,Rug 863,Home,Rug,381.01
PROD0066,Biography 455,Books,Biography,317.24
PROD0067,Smartwatch 222,Electronics,Smartwatch,204.35
PROD0068,Tablet 140,Electronics,Tablet,200.94
PROD0069,Fiction Novel 238,Books,Fiction Novel,295.59
PROD0070,Fiction Novel 905,Books,Fiction Novel,440.63
PROD0071,Comic Book 688,Books,Comic Book,459.73
PROD0072,Fiction Novel 416,Books,Fiction Novel,262.64
PROD0073,Towels 650,Home,Towels,188.12
PROD0074,Comic Book 714,Books,Comic Book,9.1
PROD0075,Sci-Fi Book 327,Books,Sci-Fi Book,86.85
PROD0076,T-Shirt 755,Clothing,T-Shirt,290.3
PROD0077,Blender 550,Home,Blender,178.27
PROD0078,Cushion 137,Home,Cushion,36.45
PROD0079,Sneakers 943,Clothing,Sneakers,11.26
PROD0080,Fiction Novel 842,Books,Fiction Novel,129.86
PROD0081,Blender 843,Home,Blender,253.87
PROD0082,History Book 596,Books,History Book,331.76
PROD0083,Smartwatch 789,Electronics,Smartwatch,73.88
PROD0084,Laptop 388,Electronics,Laptop,55.16
PROD0085,Charger 724,Electronics,Charger,191.36
PROD0086,Rug 651,Home,Rug,78.93
PROD0087,Coffee Maker 491,Home,Coffee Maker,412.09
PROD0088,Rug 916,Home,Rug,427.93
PROD0089,Biography 478,Books,Biography,453.62
PROD0090,Sci-Fi Book 968,Books,Sci-Fi Book,40.69
PROD0091,Dress 874,Clothing,Dress,71.85
PROD0092,Jacket 441,Clothing,Jacket,482.4
PROD0093,Dress 214,Clothing,Dress,203.88
PROD0094,Camera 101,Electronics,Camera,50.85
PROD0095,Fiction Novel 621,Books,Fiction Novel,150.45
PROD0096,Camera 216,Electronics,Camera,147.37
PROD0097,Charger 863,Electronics,Charger,293.59
PROD0098,Jeans 629,Clothing,Jeans,29.32
