order_id,customer_id,order_date,status,region_code
ORD00001,CUST0158,2026-03-08 17:43:43,SHIPPED,US-E
ORD00002,CUST0004,2025-12-01 22:32:43,CANCELLED,APAC-N
ORD00003,CUST0443,2026-01-10 17:13:43,DELIVERED,EU-W
ORD00004,CUST0322,2025-08-07 09:45:43,CANCELLED,APAC-S
ORD00005,CUST0481,15-06-2026,CANCELLED,APAC-N
ORD00006,CUST0205,2025-07-01 06:09:43,CANCELLED,US-W
ORD00007,CUST0442,2025-08-20 10:22:43,CANCELLED,US-E
ORD00008,CUST0228,2026-01-27 08:04:43,PLACED,US-E
ORD00009,CUST0203,2025-03-24 02:11:43,RETURNED,APAC-N
ORD00010,CUST0099,2025-03-16 10:00:43,CANCELLED,APAC-N
ORD00011,,2026-05-25 09:40:43,RETURNED,APAC-N
ORD00012,CUST0415,2025-07-06 12:18:43,DELIVERED,EU-W
ORD00013,CUST0421,2026-04-04 18:29:43,CANCELLED,APAC-N
ORD00014,CUST0454,2025-05-09 22:49:43,RETURNED,US-E
ORD00015,CUST0529,2025-03-02 12:44:43,RETURNED,APAC-S
ORD00016,CUST0252,2026-05-24 11:17:43,DELIVERED,US-W
ORD00017,CUST0518,2025-04-18 03:27:43,DELIVERED,US-E
ORD00018,CUST0122,2025-07-14 08:26:43,RETURNED,APAC-S
ORD00019,CUST0452,2026-06-09 05:23:43,DELIVERED,APAC-N
ORD00020,CUST0138,2026-05-16 09:52:43,DELIVERED,US-W
ORD00021,CUST0236,2025-03-20 05:32:43,DELIVERED,EU-W
ORD00022,CUST0368,2026-03-13 04:52:43,PLACED,US-W
ORD00023,CUST0073,2026-06-03 11:36:43,PLACED,EU-W
ORD00024,,14-06-2025,RETURNED,US-E
ORD00025,CUST0005,2025-09-22 15:33:43,PLACED,US-W
ORD00026,CUST0525,2026-03-23 09:18:43,CANCELLED,APAC-S
ORD00027,CUST0143,2025-05-29 21:44:43,PLACED,EU-W
ORD00028,CUST0098,2026-05-17 21:33:43,RETURNED,APAC-S
ORD00029,CUST0337,2026-07-03 17:10:43,PLACED,APAC-S
ORD00030,CUST0214,2025-12-17 20:41:43,SHIPPED,EU-W
ORD00031,CUST0400,2026-05-16 22:37:43,DELIVERED,APAC-S
ORD00032,CUST0198,2025-11-19 10:21:43,PLACED,APAC-S
ORD00033,CUST0231,2025-04-25 17:42:43,DELIVERED,US-E
ORD00034,CUST0362,2025-09-08 11:05:43,PLACED,APAC-S
ORD00035,CUST0202,2025-03-16 06:38:43,CANCELLED,US-E
ORD00036,CUST0488,2026-01-18 06:19:43,DELIVERED,APAC-N
ORD00037,CUST0064,2025-09-22 15:14:43,DELIVERED,APAC-N
ORD00038,CUST0464,2026-03-31 14:29:43,CANCELLED,APAC-N
ORD00039,CUST0319,2025-03-08 04:03:43,SHIPPED,APAC-N
ORD00040,CUST0156,08-11-2025,PLACED,US-W
ORD00041,CUST0267,2025-06-16 06:41:43,PLACED,APAC-N
ORD00042,CUST0433,2025-09-20 01:29:43,SHIPPED,APAC-N
ORD00043,CUST0294,2026-04-24 11:09:43,SHIPPED,EU-W
ORD00044,CUST0416,2025-04-26 13:45:43,SHIPPED,EU-W
ORD00045,CUST0179,27-02-2025,SHIPPED,EU-W
ORD00046,CUST0135,2025-06-10 09:52:43,DELIVERED,EU-W
ORD00047,CUST0370,2025-04-07 14:30:43,RETURNED,APAC-S
ORD00048,CUST0152,2025-03-09 01:17:43,CANCELLED,US-E
ORD00049,CUST0518,2025-04-09 04:29:43,CANCELLED,US-E
ORD00050,CUST0397,2026-03-12 12:26:43,SHIPPED,US-W
ORD00051,CUST0465,2025-08-14 19:26:43,SHIPPED,APAC-S
ORD00052,CUST0403,2026-02-01 04:19:43,CANCELLED,US-W
